id,mass,year,lat,long
47347,100000,2007,23.69639,-5.01472
5339,6000,1964,53.7,30.1
5340,8400,1933,35.03333,-81.88333
5341,705,1901,46.55,6.81667
5342,1700,1939,50.83333,34
5344,72,1880,14.5,76.5
5345,367,1981,17.9,101.63333
5349,303,1938,40.93333,-79.73333
5355,3920,1988,-10.05944,33.395
5357,4000,1978,47.47083,0.97667
5364,1600,1979,-6.95,108.1
5374,1455,1984,32.1025,-81.87278
5395,104000,1917,44.9,-90.28333
5397,5200,1838,-33.13333,19.38333
5401,469,1994,43.76111,-84.50778
5403,5000,1890,42.53333,12.61667
5418,20350,1965,-19.85,-47.55
5451,1200,1844,21.16667,-100.86667
5465,1460,1917,10.2,76.26667
5470,78.4,1936,35.95,-97.58333
5474,3650,1877,-27.7,27.3
5476,167,1892,35.63333,-78.13333
5477,4255,1902,54.61667,-6.21667
5496,17000,1919,36.83333,-84.35
5500,6000,1877,38.4,-84.25
5504,18000,1981,35.61667,8.83333
5511,5650,1878,26.91667,83.96667
5513,1064,1868,-28.2,24.56667
5514,2000,1868,34.4,-87.06667
6603,100,1804,49.86667,8.65
6604,7000,1998,41.98444,59.685
51559,6580,2008,-1.87089,-79.95756
6621,340,1887,43,-80
6634,28,1829,40.25,-74
6642,0.8,1897,28.56667,77.25
6649,16400,1911,51.46667,84.76667
6660,230,1967,39.7825,-104.93056
6664,12500,2001,26.68333,93.86667
6693,25400,1962,25.73333,73.61667
6694,12000,2001,19,81
6696,1140,1994,24.225,76.525
6698,45000,1976,22.37778,71.42722
6699,1800,1848,14.88333,75.6
7640,32000,1860,32.23333,76.46667
47350,3396,2007,37.35172,27.32997
7642,1000,1906,-33.75,18.56667
7649,400,1957,-31.88333,-60.46667
7652,166000,1884,-7.5,111.5
7656,3950,1961,12.73333,15.05
7657,10000,1999,36.95,9.55
7658,3840,1903,23.5,90.33333
7659,1600,1864,50.75,25.3
7661,438,1907,40,29
7706,128800,1995,45.5,119.03333
7707,230,1899,21.86667,82.45
7708,5500,1970,32.91667,120.78333
7718,3891,1805,51.2,112.3
7722,1250,1962,13.05,3.16667
7723,1161,1932,32.33333,-6.3
7725,642,1976,-13.66667,33.91667
7728,5000,1827,36.4,-86.5
7731,47700,1939,42.52,-82.26
7736,1900,1951,42.45833,18.44167
7743,30,1999,-31.66667,152.83333
7745,2270,1865,52.55,-8.03333
7750,13200,1815,30.3,76.63333
7752,577,1853,-4,39.5
7754,2117,1943,33.43333,127.26667
7755,3230,1970,-27.2,31.31667
7757,300,1872,26.25,82
7758,188,1933,-3,151
7760,10000,1947,40.78167,-96.47167
7774,2400,1961,-17.3,15.83333
7775,3000,1785,48.9,11.21667
7776,3336,1939,56.03333,13
7777,840,1916,28.26667,78.78333
7807,10000,1989,34.41667,3.25
45977,17226,1977,25.37,-97.37
7819,5000,1993,19.96722,-103.05167
7822,680.5,1998,39.24667,-104.58817
7823,107000,1399,50.18333,12.73333
7824,54640,1951,47.83333,37.66667
10019,1470,1925,51.75,4
10033,127,1900,-29.46667,151.61667
10038,8000,1974,30.3,109.5
10039,127000,1491,47.86667,7.35
10041,277,1822,48.18333,6.46667
10042,113,1940,19.03333,81.89167
10043,107.2,1911,40.3,44.5
10044,20000,1889,1.16667,44.16667
10049,2250,1812,52.21667,11.25
10051,1500,1837,46.25,-1.1
10055,500,1957,2.88333,30.83333
10059,320000,1879,43.41667,-94.83333
10074,89400,1890,39.75,-97.03333
10075,56000,1934,35.55,-77.53333
10078,1500,1844,44.38333,2.81667
10079,2360,1934,36.05,-94.16667
10080,380,1875,36.88333,8.45
10081,3200,1900,32.53333,-87.16667
10086,82,1924,34.6,116.75
10088,220,1889,36.1,-81.41667
10091,10200,1996,43.18111,13.75333
10107,17600,1894,47.81667,-96.85
10111,3640,1922,30.83333,-97.76667
10119,152000,1890,43.25,-93.66667
10120,26000,1942,-33.35,146.85833
10123,6067,1924,36.78333,-78.08333
10163,240,1900,50.95,7.31667
10164,16300,1829,33.01667,-83.96667
10177,650,1868,34.48333,-87.83333
52412,23000,1945,31.47556,113.56694
10836,11620,1882,33.18333,130.2
10839,4000,1822,25.95,80.81667
10840,2500,1977,32.9,115.9
10846,132.7,1826,44.3,0.4
10848,36.1,1952,7.05,12.43333
10849,28,1952,7.05,12.43333
10850,5000,1995,51.68333,30.78333
10851,6400,1897,27.35,68.53333
10860,380,1917,27.88333,68.53333
10861,102,1950,41.68333,-112.13333
44882,4162,1984,12.85,11.03333
10870,725,1950,12.91667,11.91667
10914,14290,1909,35.53333,136.88333
10917,18000,1853,37.31667,13.56667
10919,480,1947,9.6,9.91667
10923,670,1990,52.2,6.86667
10924,1303,1939,-7.25,107.7
10926,152000,1918,57.35,37.61667
10930,767,1991,52.45972,-0.3
10936,1750,1879,50.66667,16.76667
10948,1600,1865,24.23333,89.05
10949,3618,1974,48.28333,38.08333
10956,9000,1964,42.9,2.25
11196,45.5,1976,60.66667,11
50911,215,2009,43.2,-79.61667
11206,3500,1861,43.66667,45.38333
11207,10500,1837,49.26667,18.71667
11208,8000,1881,46.35,30.58333
11426,1000,1841,51.93333,15.5
11429,690,1910,52.86667,16.63333
11432,22000,1932,-33,-58.61667
11435,2910,1996,39.80417,122.76389
11437,1900,1980,37.1,118.4
11439,39000,1892,38.73333,-6.01667
11440,1915,1891,43.76667,20.23333
11442,288,1972,13.5,-0.68333
11443,968,1949,9.91667,13.98333
11448,2449,1982,22.98333,76.05
11449,100000,1984,11.49167,11.65833
11450,5700,1904,42.9,24.7
11464,28,1814,13.78333,78.56667
11465,34650,1981,9.36667,42.41667
11466,1000,1851,51.91667,8.38333
11467,1320,1930,35,127.5
11468,0.2,1817,35.65,139.33333
11472,9000,1934,50.31667,3.73333
11479,1456,1944,57.81667,16.23333
11485,3710,1959,41.38333,-86.6
11824,1000,1878,26.8,82.53333
11829,315,1921,28.38333,75.78333
11830,8360,1961,32.675,-94.51167
11842,680,1859,38.25,-86.16667
11848,1110.6,1910,35.2945,136.70033
11852,1250,1890,28.95,0.81667
11855,29000,1628,51.65,-1.51667
11859,1544,1971,60.24556,22.06194
11869,3500,1922,55.46667,13.78333
11870,6100,1910,27.33333,35.66667
11875,1000,1857,10,-84.1
11878,20000,1869,59.85,17.66667
11883,750,1897,33.6,130.43333
11884,4500,1804,55.9,-4.23333
11889,414,2003,34.45,132.38333
44714,167.7,2003,1.345,31.47278
11893,305.5,1954,64.43333,21.2
11894,220000,1912,34.9,-110.18333
11895,1415,1923,9.06667,38.41667
11901,230000,1875,41.8,-91.86667
11904,2420,1825,21.3,-157.86667
11913,180,1956,35.66667,115.5
11915,266.1,1963,39.35,-100.45
11916,49000,1751,46.1,16.33333
54719,1600,2010,26.46469,106.63241
11986,112,1877,50.3,8.91667
11989,14000,1901,61.18333,22.68333
11992,2000,1870,52.28333,7.7
11993,2500,1957,-20,-45
11995,3973,1936,58.2,82.93333
12000,3457,1956,-32.1,28.33333
12003,1200,1977,-23.2,-51.83333
12004,7330,1975,-6.03333,145.36667
12027,27000,1891,39.75,46.66667
12028,880,1917,39.08333,-94.4
12037,3000,1963,41,112
12039,4576,1977,53.415,-111.3375
12043,7000,1972,-25.5,-54.5
12049,1300,1954,-8.93333,33.8
12053,3050,1928,-31.18333,-57.95
12056,2024,1879,-3.4,-44.33333
12058,4720,1990,26.59083,-12.95217
12063,704.5,1938,-8.41667,32.43333
12065,48000,1903,-32.5,21.9
12067,973,1926,26.75,68.41667
12069,1967,1621,31,75
12072,22,1866,18.75,75.33333
12074,20500,1979,39.7,105.8
12078,34000,1889,43.83333,20.44167
51589,3667,2009,46.42137,14.05217
12085,5900,1873,31.3,72.38333
12086,222,1964,31.91667,104.91667
12087,600000,1890,30.80833,109.5
12171,4000000,1976,44.05,126.16667
47362,100,2006,22.68,70.31333
12173,30,1877,55.7,24.4
12198,40300,1924,40.35,-104.9
12199,483,1974,-11.85,15.83333
12202,5000,1819,45.43333,-0.45
12203,100000,1997,35.5,115.41667
12207,680,1876,12.85,76.8
12209,32490,1984,-7.71667,111.2
12210,950,1976,35.2,118.8
12213,25250,1968,38.74028,-7.27
12214,91000,1821,44.71667,4.3
12218,3000,1857,47.35,21.3
12220,13400,1971,11.85,8.21667
12221,89,1822,27.08333,78.33333
12222,230,1838,27.25,79.96667
12227,1900,1908,49.86667,30.83333
12228,2000,1980,15,48.3
12229,200000,1937,55.43333,53.25
12230,350,1890,12.38333,78.51667
12231,577,1858,45.13333,21.66667
12232,950,1951,-6.83333,29.5
12236,4500,1879,17.83333,73.98333
12238,2770,1942,26.03333,81.46667
12240,448,1913,36.04167,139.95667
12241,1293,1902,14.18333,75.8
12243,299,1959,31.6,65.78333
12245,1630,1908,-7,115.5
12246,400,1897,32.08333,76.3
12251,11355,1942,4.7,33.63333
47357,1600,2004,20.33916,73.22329
12253,3500,1937,42.45,73.36667
12256,3000,1840,47.21667,81.01667
12258,2220,1963,-3.5,35.58333
12260,180,1949,12.9,7.15
12262,22000,1905,27.8,67.16667
12263,2950,1955,31.58333,71.6
12264,41730,1930,-35.08333,139.91667
12266,710,1938,35.36667,136.76667
30740,16820,2003,29.58333,77.58333
35465,1500,1999,11.33333,10.08333
47351,6800,2006,25.14333,75.81333
12268,85000,1961,39.26333,31.78
12270,3300,1940,-7.75,112.01667
53654,5760,2008,36.54194,29.41822
12275,6937,1939,29.45,-96
12276,6669.2,2003,20.4625,86.70278
12282,5000,1874,48.4,-3.3
12284,80000,1869,48.11667,-3.08333
12286,135000,1850,38.98333,141.61667
12288,13600,1873,29.53333,72.3
12289,3698,1932,25.55,83.11667
12291,1500,1787,50.625,35.075
12294,450,1860,26.95,77.88333
12296,100,1867,28.01667,75.81667
12297,6109,1929,56.75,75.33333
12298,9700,1910,25.1,81.53333
12299,3200,1932,16,36
12300,100000,1983,14,28
12301,737.6,1962,54.4,10.15
12303,1500,1970,16.58333,-11.33333
12305,331,1906,36.85,138.38333
12306,195,1809,55,34
12307,19000,2002,12.76667,9.8
12308,772,1911,43.58333,-89.6
12309,140,1844,54.66667,-7.66667
12316,67.4,1967,11.63333,24.68333
12321,97.7,1906,30.75,-95.95
12325,1550,1914,48.16667,22.30833
12326,202.6,1998,43.38333,-80.38333
12332,3250,1843,51.6,10.8
12335,500000,1866,48.9,22.4
12336,136,1999,34.73333,135.16667
12342,11510,1986,34.3,133.95
12343,238,1926,35.73333,139.75
12344,90,1931,42.51667,26.16667
53810,4300,2010,48.76367,21.17633
12353,16500,1869,49.32694,7.46472
12355,2440,1829,54.03333,40.9
12357,4000,1946,54.33333,56.08333
12363,845.2,1906,56.8,77
12364,50000,1946,47.83333,30.76667
12368,2250,1938,51.15,31.7
12369,453.6,1961,30.73111,66.80222
12370,6000,1811,50.75,33.5
12373,3719,1906,41.11667,45
12377,200000,1949,55.78333,61.36667
12379,1100000,1998,42.25,59.2
12381,4460,1920,37.05,138.38333
12382,5,1860,29.68333,78.38333
12383,23,1977,44.51667,39.3
12384,45000,1914,10.83333,76.03333
12385,4047,1932,55.2,75.33333
12390,45000,1886,32.03333,130.63333
12392,2800,1879,47.08333,1.75
12394,399,1878,20.66667,-101.28333
12395,2000,1924,-37.33333,-61.53333
12396,45000,1985,-31.23333,-58.16667
12408,3833,1871,44.28333,5.58333
12433,900,1955,26.78333,82.71667
12434,37000,1803,48.76667,0.63333
12435,212.5,1910,21.86667,76.03333
12451,372,1887,24.45,78.56667
12455,51700,1872,47.7,1.06667
12456,7000,1897,43.75,5.11667
12461,2300,1947,58.85,16.73333
12464,1282,1986,46.24167,126.19611
12465,7000,1925,47.75,16.23333
12466,14250,1987,33.13333,115.16667
12740,1060,1830,51.9,-1.11667
12743,800,1938,52.45,51.56667
12748,3000,1845,47.16667,0.43333
12749,780,1845,48.53333,-0.86667
12755,51500,1943,35.88333,-99.33333
12756,460,1912,-25.66667,28.36667
12759,271.4,1999,52.66667,-6.96667
12760,877,1907,34.58333,-87.5
12765,700,1900,52.26667,32.85
12769,125,1857,48.35,3.25
12772,2000,1896,50.36667,4.73333
14646,4000,1973,-26.15,26.18333
14650,6862,1930,56.65,15.86667
14652,50000,1813,52.56667,-8.78333
14655,1862,1854,52.75,12.9
14659,498,1978,31.63333,118.98333
14661,12800,1808,50.2,14.85
14664,491,1839,37.91667,-92.08333
14670,5213,1820,56,26.43333
14675,1000,1868,29.53333,71.8
14678,40000,1994,26.96556,72.62667
52843,329.7,2010,38.70066,-77.21163
14708,25,1894,38,-0.83333
14711,17000,1970,36.00833,-95.15
14716,1300,1977,38.25,-85.75
14718,59000,1935,52,19.91667
14721,9241,1926,24.95,75.15
14724,3500,1768,47.85,0.48333
14753,340,1869,32.03333,-84.76667
14754,2520,1980,24.8,103.3
14755,11000,1889,56.21667,13.03333
14756,885,1813,61.2,27.7
14757,14000,1753,46.21667,5
14764,540,1937,19,97
15370,1500,1836,-5.2,-36.66667
15371,93200,1981,-15.21222,35.24222
15372,1995,1936,-28.83333,31.95
15379,1000,1950,25.91667,86.36667
15380,400,1935,-7.75,111.53333
15382,400,1896,40.41667,-3.71667
15383,600,1941,-26.16667,-49.93333
15386,5000,1899,37.86667,27.51667
15387,666.6,1990,-19.48333,31.65
47361,70500,2007,27.66667,95.78333
30751,4629,2004,12.83333,9.38333
15393,150,1933,32.21667,-104
15394,2000,1970,9.5,31.75
15395,470,1930,-3.13333,33.51667
15400,807,1933,-29.45,26.76667
15401,1000,1927,45.21667,62.08333
15402,1700,1863,23.05,86.7
15403,50,1843,20.96667,76.1
15405,22300,1934,-17.65,31.6
15409,3555,1951,45.81667,44.63333
15414,4500,1948,34.23333,72.08333
15419,340,1898,42.71667,-99.38333
48973,25.81,2009,54.76183,11.46745
15421,3200,1941,4.66667,29.25
15422,2500,1971,-22.25,-49.93333
15424,28400,1847,41.9,-91.6
15426,45000,1902,61.5,30.5
15429,3000,1848,44.5,0.15
15430,6000,2002,-14.2,48.1
15436,1443,1983,35.8,-84.1
15438,1000,1836,45.36667,1.86667
15443,1600,1803,48.13333,12.61667
15446,19000,1768,48.18333,13.13333
15447,220,1801,-20,57
15451,4850,1974,8.96667,12.08333
15453,4000,1885,24.68333,-101.68333
15454,4975,1942,-1.21667,30
15455,150000,1992,1.06667,34.16667
15467,31,1953,-27.25,-67.5
15469,22,1861,29.01667,77.8
15470,24750,1915,-6.23333,106.88333
15485,10500,1862,53.18333,13.15
15486,28.9,1903,46.81867,7.21817
15489,4000,1878,55.05,12.06667
15491,6000,1945,0,37.66667
15492,71400,1920,25.48333,81.98333
15495,2405,1955,38.18333,15.56667
16626,870,1897,50.58333,11.1
16627,1300,1949,45.76667,3.25
16628,22700,1852,46.5,25.73333
16629,350,1827,25.9,83.61667
16631,1100,1980,34.8,111.7
16632,1600,1881,54.56667,-1.16667
52090,3584,2010,42.9075,-90.36556
16634,8000,1889,48.06667,30.96667
16635,6380,1992,35.56833,133.22
16636,224.2,1944,46.23333,17.53333
16640,10000,1842,46.18333,16.1
16643,330000,1960,-26.45,120.36667
16645,16700,1930,35.4,-92.05
16692,1040,1632,35.07833,136.93333
16696,42,1826,37.28333,14.7
16697,5500,1952,32.33333,120.66667
16700,550,1905,47.7,16.6
16701,8510,1910,25.68333,83.25
16703,5800,1890,56.66667,23
16707,100.7,1898,61.73333,5.93333
16709,300000,1882,46.8,24.03333
16711,35000,1905,38.5,-101.1
16713,4500,1908,-39.63333,174.4
16715,144000,1858,38.11667,-1.16667
16717,150,1953,-31.25,26.46667
16719,2587,1998,31.60833,-102.85833
16720,8600,1849,35.25,-80.5
16725,4885,1950,38.01667,-8.25
16726,3130,1846,43.26667,13.35
16727,149000,1923,43.39056,1.9625
16729,500,1838,47.63333,1.58333
16736,1880,1913,35.41667,-79.38333
16737,3520,1810,52.45,-8.33333
16738,8887.5,1930,-40.975,145.6
16740,70,1808,28.78333,78.83333
16742,633,2000,49.6,18.53333
16747,1300,1875,44.6,5.13333
36592,3763,2006,59.43333,10.7
16759,1500,1868,26.83333,77.33333
16762,9150,1868,45.2,8.5
16766,11300,1902,-29.8,141.7
16804,110000,1991,18.7,4.8
16805,17000,1637,44.08333,6.86667
16820,1100,1944,-11.5,33.5
16841,4400,1865,12.63333,77.01667
16851,25.5,1795,9.33333,80.83333
16874,4703,1924,24.5,90.21667
16875,100000,1969,-36.61667,145.2
16882,12600,1950,36.6,-88.1
16885,1245,1964,26.13333,85.53333
16889,8165,1956,12,1
16890,1810,1922,38.12167,140.06167
16892,20,1875,26.98333,78.21667
16893,6100,1895,49.16667,19.5
16898,10000,1911,31.31667,30.35
16899,23200,1923,13.73333,100.08333
16902,4500,1886,12.28333,79.2
16903,52900,1917,35.66667,103.5
16904,7500,1825,38.41667,-77.16667
16907,529,1984,32.11667,121.8
16908,17000,1928,19.25,77
16909,2700,1974,33.75,51.5
16912,367.5,1928,-34.05,150.68889
16922,347,1936,-21.73333,165.9
16927,105,1890,21.25,83.66667
16934,420,1995,36.44917,136.46528
16935,4500,1870,18.68333,83.48333
16941,2450,1970,9.5,35.33333
16945,10250,1864,56.5,21.5
16950,6189,2002,47.525,10.80833
16953,230000,1860,40,-81.76667
16954,12000,1994,15.36667,35.68333
16960,19256,2003,29.94718,-90.10976
16966,1393,1883,-7.45,111.41667
16968,37500,1900,13.85,-4.38333
16976,3996,1935,52.45,78.63333
16977,6000,1954,56.11667,37.33333
16980,14250,1975,29.86667,121.48333
16981,4610,1983,32.925,105.90667
16982,467,1897,34.2,131.56667
16983,17200,1912,-28.56667,30.7
16984,2300,1823,44.08333,-69.48333
16985,483.7,1991,40.08528,-86.055
16988,472,860,33.725,130.75
16989,4000,1879,-32.36667,-59.83333
16994,1050,1918,36.21667,-92.26667
17922,1100000,1948,39.68333,-99.86667
17930,177,1971,45.29167,11.52722
17933,1900,1886,54.81667,46
17935,1001,1908,56,22
17936,250,1933,42.91667,102.46667
17938,50000,1978,24.3,-102.13333
17959,5000,1851,41.63333,0.75
17960,363,1925,43.33333,141.86667
17969,737.6,1939,21.20833,94.91667
17970,1100,1914,47.55,22.025
17979,500000,1887,57.78333,55.26667
17988,1400,1927,52.28333,8.05
17989,6000,1855,58.5,23
17990,3750,1900,47.88333,22.03333
17994,14360,1741,33.28333,130.2
17995,16250,1857,46.06667,23.58333
17996,7700,1963,6.75,8.5
17997,5850,1926,38.18333,-5.4
17998,194,1958,36.18333,139.21667
18000,4742,1904,35.08333,135.2
18002,12000,1834,50.83333,25.5
18009,16570,1930,52.95,8.16667
18013,150000,1924,38.71667,-7.06667
18015,40000,1929,39.56667,-2.1
18019,250000,1981,64.02,161.80833
18026,14000,1864,43.88333,1.38333
34489,180,2004,28.5475,-81.36222
18030,6000,1868,47.11667,6.15
18033,4500,1671,48.5,8
18034,3400,1872,42.13333,12.93333
18042,246,1928,58.88333,9.4
18045,6510,1867,38.4,140.35
18046,840,1896,38.6,-95.21667
56729,4440,2003,12.9,0.08
18050,1215.5,1986,30.18,-6.57717
31282,17000,2003,24.3,-13.1
18052,20000,1998,37.60833,-8.28
18055,121.5,1900,-18,16
18058,205,1856,43.4,-5.86667
18068,3400,1881,21.05,-99.3
18069,3858,1929,55.66667,25
18072,515,1910,17.74333,120.45583
18074,1430,1988,-23.11667,-65.1
18077,18000,1914,43.48333,118.61667
18079,135,1926,39.8,-91.5
18082,682,1949,21.3,-157.78333
18093,10500,1859,15.08333,120.7
18098,2130,1938,8.06667,124.28333
18101,408000,1930,36.06667,-90.5
18102,2000,1967,-6.23333,-40.7
18103,100000,1956,-19.13333,-51.66667
18106,18000,2003,41.48472,-87.67917
18108,77600,1857,9.23333,78.35
18109,800,1942,26.2,85.4
18110,5100,1933,36.21667,-103.4
18112,4375,1969,20.93694,82.05
18116,2121,1950,-19.53333,-48.56667
18118,12,1922,38.13333,14.96667
18171,37350,1935,23.15,91.18333
18173,2968,1966,43.46667,25.51667
18175,142.5,1938,52.3,77.03333
18176,40000,1826,48.53333,35.98333
18177,2000,1882,52.03333,43
18180,45760,1963,56.13333,-117.93333
18181,117.8,1953,51.66667,9.25
18782,12570,1992,41.28333,-73.91667
18786,70000,1946,30.125,-103.11667
18792,165,1899,-10.66667,35.5
18793,23474,1935,23.325,91
18797,2,1830,56.4,-3.43333
18798,66000,1933,56.63333,39.43333
18799,3393,1933,55.5,66.08333
18800,189,1995,14.052,0.42
18801,1800,1855,35.3,-86.63333
18808,57900,1901,40,-99.25
18809,500,1887,11.25,108.58333
18811,7800,1933,12,105.48333
18812,11000,1941,15.71667,108.1
18813,13.1,1968,44.24417,11.50222
18822,23250,1863,58.66667,25.73333
18831,42000,1996,26.03472,73.94167
18832,37,1881,-32.86667,18.71667
18834,842,1882,25.8,88.45
18835,1161,1884,29.58333,76
18837,3760,1921,31.95,-83.51667
18846,2085,1930,30.7,-96.11667
51706,6913,2008,45.275,26.70972
18849,39,1723,50.53333,14.11667
18851,96,1868,11.58333,104.91667
18853,3000,1819,50.93333,12.13333
